FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
&    S708-D       09 48 56.40 -10 30 32.0    &     &     &      &     &     &    11.001 (0.011) [02]  10.746 (0.015) [03]  10.684 (0.020) [03]    &     &     &       &     &     &
127  p212-c       10 06 29.03 +41 01 26.6  12.33 (0.03) [06]    &     &     &    11.963 (0.014) [03]  11.711 (0.012) [03]  11.672 (0.012) [02]    &     &     &       &     &     &
19   G162-66      10 33 42.75 -11 41 38.3  13.32 (0.02)  &    13.35 (0.02)  &    13.628 (0.009) [02]  13.698 (0.018) [03]  13.784 (0.010) [04]    &     &     &       &     &     &
&    P550-C       10 33 51.80 +04 49 05.0    &     &     &      &     &     &    12.306 (0.014) [02]  12.080 (0.010) [02]  12.039 (0.001) [02]    &     &     &       &     &     &
128  lhs2347      11 05 10.40 +07 06 48.7  14.66 (0.03) [01]    &     &     &    12.985 (0.010) [02]  12.430 (0.006) [02]  12.050 (0.010) [03]    &     &     &       &     &     &
20   G163-50      11 07 59.93 -05 09 26.1  13.24 (0.02)  &    13.26 (0.02)  &    13.440 (0.005) [02]  13.453 (0.002) [03]  13.506 (0.003) [02]    &     &     &       &     &     &
129  lhs2397a     11 21 48.95 -13 13 07.9  14.20 (0.03) [01]    &     &     &    11.815 (0.019) [03]  11.182 (0.006) [03]  10.645 (0.011) [02]  10.03  (0.03)  [01]   &     &     &
130  p264-f       11 24 55.92 +34 44 38.5    &     &     &      &     &     &    12.970 (0.011) [03]  12.390 (0.006) [03]  12.260 (0.012) [03]    &     &     &       &     &     &
21   GD140        11 37 05.15 +29 47 58.4  12.80 (0.03) [01]  12.89 (0.03) [01]  13.020 (0.006) [03]  13.064 (0.007) [03]  13.168 (0.012) [03]    &     &     &       &     &     &
&    BS4550       11 52 58.77 +37 43 07.2    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &      4.41   &     &
&    HD105601     12 09 27.80 +38 37 54.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.669 (0.014) [03]  6.70 (0.02) [03]
131  p266-c       12 14 25.40 +35 35 55.6  11.96 (0.04) [05]    &     &     &    11.622 (0.017) [02]  11.370 (0.010) [02]  11.321 (0.011) [02]    &     &     &       &     &     &
&    HD106965     12 17 57.54 +01 34 31.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.311 (0.010) [06]  7.32 (0.04) [03]
132  s860-d       12 21 39.36 -00 07 13.3  12.59 (0.03) [01]  12.44 (0.03) [01]  12.157 (0.011) [03]  11.875 (0.006) [03]  11.835 (0.004) [03]    &     &     &       &     &     &
33   GD153        12 57 02.30 +22 01 52.8    &     &     &      &     &     &    14.083 (0.003) [03]  14.165 (0.016) [03]  14.268 (0.010) [03]    &     &     &       &     &     &
133  p172-e       13 15 52.80 +46 06 36.9    &     &     &      &     &     &    12.303 (0.011) [02]  11.971 (0.009) [02]  11.906 (0.001) [02]    &     &     &       &     &     &
&    S791-C       13 17 29.60 -05 32 37.0    &     &     &      &     &     &    11.574 (0.004) [03]  11.273 (0.016) [04]  11.226 (0.009) [04]    &     &     &       &     &     &
23   M3-193       13 41 43.57 +28 29 49.5    &     &     &      &     &     &    13.001 (0.006) [02]  12.494 (0.001) [02]  12.393 (0.011) [02]    &     &     &       &     &     &
&    P133-C       13 58 40.20 +52 06 24.0    &     &     &      &     &     &    11.126 (0.009) [03]  10.880 (0.004) [03]  10.831 (0.008) [03]    &     &     &       &     &     &
&    HD121968     13 58 51.17 -02 54 52.3  10.44 (0.02)  &    10.41 (0.03)  &      &      &      &      &      &      &      &      &      &      &     &     &       &     &     &
&    P499-E       14 07 33.90 +12 23 51.0    &     &     &      &     &     &    11.908 (0.012) [03]  11.577 (0.016) [03]  11.520 (0.010) [03]    &     &     &       &     &     &
134  lhs2924      14 28 43.37 +33 10 41.5    &     &     &      &     &     &    11.903 (0.006) [02]  11.247 (0.010) [03]  10.716 (0.010) [03]  10.10  (0.02)  [03]   &     &     &
135  s867-v       14 40 58.04 -00 27 46.6    &     &     &      &     &     &    11.960 (0.007) [03]  11.665 (0.008) [03]  11.606 (0.007) [03]    &     &     &       &     &     &
&    HD129653     14 42 39.56 +36 45 24.3    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.920 (0.014) [03]  6.99 (0.02) [03]
&    HD129655     14 43 46.44 -02 30 20.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.666 (0.014) [03]  6.69 (0.02) [03]
&    P272-D       14 58 33.10 +37 08 33.0    &     &     &      &     &     &    11.595 (0.012) [03]  11.271 (0.002) [03]  11.199 (0.008) [04]    &     &     &       &     &     &
136  S868-G       14 59 32.05 -00 06 17.0    &     &     &      &     &     &    12.531 (0.004) [03]  12.007 (0.009) [04]  11.890 (0.017) [04]    &     &     &       &     &     &
&    T868-53850   15 00 26.40 -00 39 29.0    &     &     &      &     &     &    11.519 (0.008) [03]  10.990 (0.006) [03]  10.600 (0.009) [03]    &     &     &       &     &     &
&    T868-110639  15 10 17.00 -02 41 05.0    &     &     &      &     &     &    12.529 (0.016) [04]  11.864 (0.010) [04]  11.305 (0.010) [03]    &     &     &       &     &     &
&    HD136754     15 21 34.53 +24 20 36.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.158 (0.010) [05]  7.13 (0.04) [04]
&    PG1528+062B  15 30 39.00 +06 01 13.0  11.14 (0.02)  &    11.01 (0.03)  &      &      &      &      &      &      &      &      &      &      &     &     &       &     &     &
