FS   Other            RA (J2000)  Dec              I                  Z                Y(MKO)                J(MKO)               H(MKO)               K(MKO)               L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N     mag     sem    N      mag    sem    N     mag     sem    N     mag   sem   N 
140  s587-t       17 13 22.65 -18 53 33.8    &     &     &      &     &     &      &      &      &    10.775 (0.014) [04]  10.430 (0.021) [04]  10.369 (0.008) [03]  10.34  (0.03)  [02]   &     &     &
&    p138-c       17 13 44.6  +54 33 21.0    &     &     &      &     &     &      &      &      &    11.327 (0.027) [02]  11.124 (0.007) [02]  11.098 (0.019) [03]    &      &      &     &     &     &
&    SA109-381    17 44 12.00 -00 20 33.0  10.72 (0.02)  &    10.54 (0.03)  &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &     &     &     &
&    HD162208     17 47 58.56 +39 58 50.9    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.125 (0.014) [03]  7.05 (0.02) [03]
&    HD161903     17 48 19.22 -01 48 29.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.034 (0.014) [03]  6.97 (0.02) [03]
&    HD161743     17 48 57.93 -38 07 07.5    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.623 (0.020) [02]  7.67 (0.03) [01]
141  p389-d       17 48 58.87 +23 17 43.7    &     &     &      &     &     &      &      &      &    11.152 (0.015) [03]  10.853 (0.009) [03]  10.785 (0.011) [03]    &      &      &     &     &     &
35   &            18 27 13.52 +04 03 09.4    &     &     &      &     &     &    12.499 (0.013) [33]  12.188 (0.015) [05]  11.835 (0.010) [05]  11.741 (0.010) [05]    &      &      &     &     &     &
143  Ser-EC68     18 29 53.79 +01 13 29.9    &     &     &      &     &     &    19.041 (0.085) [8]   16.495 (0.030) [03]  14.269 (0.010) [02]  12.923 (0.011) [03]    &      &      &     &     &     &
144  Ser-EC84     18 29 56.90 +01 12 47.1    &     &     &      &     &     &      &      &      &    14.997 (0.030) [03]  12.555 (0.013) [03]  11.009 (0.012) [03]    &      &      &     &     &     &
&    P182-E       18 39 33.70 +49 05 38.0    &     &     &      &     &     &      &      &      &    12.081 (0.006) [04]  11.779 (0.013) [03]  11.713 (0.011) [03]    &      &      &     &     &     &
